address,lon,lat
"3 MULGRAVE TERRACE, DUN LAOGHAIRE, DUBLIN",53.28845525,-6.1367486
"30 Rosglas, Breagh, Ballinasloe",0,0
"31 HAMMOND STREET, BLACKPITTS, DUBLIN 8",0,0
"32 Foxfield Park, Kiltimagh",0,0
"33 RAHANINE MANOR, ROCHFORTBRIDGE, WESTMEATH",53.4150537,-7.2938412
"33 The Paddock, Enniscorthy",0,0
"37 Broadfield View, Naas",53.2040554,-6.6714032
"38 MORRISSONS RD, WATERFORD, WATERFORD",52.2576231,-7.1271789
"4 CAIRNBROOK WAY, CARRICKMINES, DUBLIN 18",0,0
"4 CORNELSCOURT COTTAGES, OLD BRAY ROAD, CORNELSCOURT",0,0
"4 CRANFORD COURT, STILLORGAN RD, DONNYBROOK DUBLIN 4",0,0
"4 THE ANCHORAGE, CLARENCE ST, DUN LAOGHAIRE DUBLIN 18",53.295831899999996,-6.142034995156439
"4 The Walk, Skerries Rock, Skerries",0,0
"4 VENETIAN HALL, HOWTH RD, KILLESTER DUBLIN 3",0,0
"40 MOUNTSHANNON RD, SOUTH CIRCULAR RD, KILMAINHAM DUBLIN 8",53.3388329,-6.3013341
"43 OWENTARAGLEN, RIVER VALLEY  SPA GLEN, MALLOW",0,0
"43 THE PADDOCKS, TIPPER ROAD, NAAS",0,0
"45 Clonmagadden Fort, Navan",53.6667656,-6.6896444
"47 Assumpta Terrace, Portarlington",0,0
"49 BROOKFIELD GREEN, K C R, DUBLIN 12",53.3136896,-6.3003751
"49 Fairgreen Park, Mullgh, County Cavan",0,0
"5 LARCH HILL, SWINFORD, MAYO",0,0
"5 ST JOHNS AVE, WEXFORD, WEXFORD",52.3385937,-6.4678361
"5 The Avenue, Skerries Rock, Skerries",53.5817495,-6.1191837
"52 SUMMERFIELD LAWNS, BLANCHARDSTOWN, DUBLIN",0,0
"53 MONKSTOWN RD, MONKSTOWN, DUBLIN",53.2937719,-6.1550264
"54 MANOR ST, DUBLIN 7, DUBLIN",53.3531884,-6.2851172
"55 LANDSCAPE PARK, CHURCHTOWN, DUBLIN 14",53.2993437,-6.2632302
"55 TRIOGUE MANOR, GREENMILL LANE, PORTLAOISE",0,0
"56 OLIVER PLUNKETT STREET, BANDON, CO CORK",51.7451013,-8.7329489
"6 hydes park, ballinacurra, midleton",0,0
"6 VIEWPOINT, CASTLEBAR, MAYO",53.860487500000005,-9.305859625985134
"61 GORT NA COIRIBE, STUDENT VILLAGE, HEADFORD RD",0,0
"69 Hazelwood, Santry Woods, Santry",0,0
"70 CAOMAILTE MEADOWS, NENAGH, CO TIPPERARY",0,0
"72 ST BRENDANS PARK, TRALEE, KERRY",52.2775331,-9.7028277
"73 HAMPTON WOOD RD, HAMPTON WOOD, FINGLAS DUBLIN 11",53.4050212,-6.2904717
"74 HAMPTON WOOD RD, HAMPTON WOOD, FINGLAS DUBLIN 11",53.4050212,-6.2904717
"75 HAMPTON WOOD RD, HAMPTON WOOD, FINGLAS DUBLIN 11",53.4050212,-6.2904717
"8 COMERAGH CRESCENT, CAHIR, TIPPERARY",0,0
"8 Well Road Homes, Churchyard Lane, Well Road  Douglas",0,0
"81 HAMPTON WOOD RD, HAMPTON WOOD, FINGLAS DUBLIN 11",53.4050212,-6.2904717
"82 HAMPTON WOOD RD, HAMPTON WOOD, FINGLAS DUBLIN 11",53.4050212,-6.2904717
"83 HAMPTON WOOD RD, HAMPTON WOOD, FINGLAS DUBLIN 11",53.4050212,-6.2904717
"9 Edgeworth Green, Longwood",0,0
"9 MOUNT ARGUS CRESCENT, HAROLDS CROSS, DUBLIN 6",0,0
"9 Wilson's Creek, Rossylongan, Donegal Town",0,0
"9 WOODSIDE GROVE, RATHFARNHAM, DUBLIN 14",53.30091535,-6.270909681397404
"92 HAMPTON WOOD RD, HAMPTON WOOD, FINGLAS DUBLIN 11",53.4050212,-6.2904717
"93 HAMPTON WOOD RD, HAMPTON WOOD, FINGLAS DUBLIN 11",53.4050212,-6.2904717
"94 HAMPTON WOOD RD, HAMPTON WOOD, FINGLAS DUBLIN 11",53.4050212,-6.2904717
"AN DUN, MAIN STREET, DONABATE",0,0
"APARTMENT 18, LINDSAY HOUSE, CHRISTCHURCH",0,0
"APARTMENT 44 MUSIC HALL, OLD CITY COWS LANE, TEMPLE BAR",0,0
"Apartment 46, 125 Francis Street, Dublin 2",0,0
"APARTMENT NO. 11, 18 LOWER BAGGOT ST., DUBLIN 2",0,0
"APT 29, MARLAY VIEW, BALLINTEER AVE",0,0
"APT 4 AMHRA HOUSE, BOTHER NA MBAN, WOODQUAY",0,0
"APT 73, SILVERQUAY, NORTHGATE ST",0,0
"APT B, CREGBOY, CLAREGLAWAY",0,0
"Apt. 70 Hazelwood, Northwood, Santry",0,0
"BALLYNAMONA, KILTAMAGH, CO MAYO",0,0
"BOHOGERAWER, BALLYHAUNIS, MAYO",0,0
"CARROWMORE, BULLAUN, LOUGHREA",53.2530453,-8.511629889057467
"DERRYGOAN, BALLINAMORE, CO LEITRIM",54.031002,-7.7582267208304945
"DROCOURT, HAGGARDSTOWN, DUBLIN RD",0,0
"ENNIS RD, KILDYSART, CLARE",0,0
"GATELYS HOUSE, MOORE ST, LOUGHREA",0,0
"Glen Aoibhinn, Ardamine, Gorey",52.6336335,-6.236707085925095
"Knock Grena, Ballinacurra, Limerick",0,0
"KNOCKBOY, RATHVILLY, CARLOW",52.8912497,-6.659442751456041
"LISCUBBA, CLONAKILTY, CO CORK",0,0
"Lissadell, Shanganagh Road, Shankill",0,0
"Meelick, Portlaoise",53.0162852,-7.3003521
"NEW ROW, KILLYBEGS, DONEGAL",54.6361105,-8.4465368
"No 8 Cluain Garbhain, The Burgery, Dungarvan",0,0
"No. 3  Kali Magdan, Mulberry, Mitchelstown",0,0
"OLD COTTAGE, MAGHEROARTY, DONEGAL",0,0
"ORCHARD LODGE, OAK PARK ROAD, TRALEE",0,0
"PAROCHIAL HOUSE, BROADFORD, CO LIMERICK",0,0
"PELLETSTOWN, DRUMREE, CO MEATH",0,0
"TONALIG WOODMOUNT, CREAGH, BALLINASLOE",0,0
"1 CHURCH RD, BELMULLET, MAYO",54.30270945,-9.794346700000002
"10 CASSIAN COURT EAST, ROYAL CANAL PARK ASHTOWN, DUBLIN 15",0,0
"11 BOTHAR CAORAN, SLI NA MONA, PORTARLINGTON",0,0
"11 DE COURCY SQ, GLASNEVIN, DUBLIN 9",0,0
"11 LA VISTA AVE, SUTTON, DUBLIN 13",53.3792949,-6.1012961
"110 CABRA ROAD, CABRA, DUBLIN 7",53.3609856,-6.288367842605833
"12 COIS ABHANN, KILLEAGH, CO CORK",0,0
"12 KILKENNY ST, CASTLECOMER, CO KILKENNY",52.804323,-7.21033
"12 NICHOLAS ST, DUNDALK, LOUTH",54.0101959,-6.4058504
"124 CIANALTHA MEADOWS, NENAGH, TIPPERARY",0,0
"13 WILLISON LAWN, BLARNEY, CORK",51.9275543,-8.5891754
